ano;periodo;madrid;espana
2007;Trimestre 2;3.497,80;1810,10
2007;Trimestre 3;3.551,19;1782,95
2007;Trimestre 4;3.364,98;1812,38
2008;Trimestre 1;3.323,59;1779,20
2008;Trimestre 2;3.268,73;1788,04
2008;Trimestre 3;3.374,24;1730,74
2008;Trimestre 4;3.137;1736,19
2009;Trimestre 1;3.018,23;1695,51
2009;Trimestre 2;2.934,55;1700,39
2009;Trimestre 3;2.864,02;1666,63
2009;Trimestre 4;2.841,31;1687,45
2010;Trimestre 1;2.873,04;1685,62
2010;Trimestre 2;2.917,15;1701,68
2010;Trimestre 3;2.803,71;1576,10
2010;Trimestre 4;2.763,39;1624,06
2011;Trimestre 1;2.642,64;1563,77
2011;Trimestre 2;2.586,07;1555,29
2011;Trimestre 3;2.525,73;1507,01
2011;Trimestre 4;2.589,47;1501,37
2012;Trimestre 1;2.354,99;1379,12
2012;Trimestre 2;2.214,51;1373,62
2012;Trimestre 3;2.110,25;1336,68
2012;Trimestre 4;2.160,29;1344,37
2013;Trimestre 1;2.090,09;1226,93
2013;Trimestre 2;1.980,90;1250,40
2013;Trimestre 3;2.063,89;1246,61
2013;Trimestre 4;2.034,47;1250,22
2014;Trimestre 1;1.947,22;1280,50
2014;Trimestre 2;2.035,69;1252,52
2014;Trimestre 3;2.051,89;1221,84
2014;Trimestre 4;1.998,97;1245,49
2015;Trimestre 1;2.057,92;1246,62
2015;Trimestre 2;2.036,56;1301,24
2015;Trimestre 3;2.112;1254,88
2015;Trimestre 4;2.085,97;1283,51
2016;Trimestre 1;2.226,39;1299,55
2016;Trimestre 2;2.209,12;1319,32
2016;Trimestre 3;2.249,12;1265,42
2016;Trimestre 4;2.324,59;1332,90
2017;Trimestre 1;2.373,56;1354,97
2017;Trimestre 2;2.437,13;1390,41
2017;Trimestre 3;2.520,25;1353,12
2017;Trimestre 4;2.596;1369,57
2018;Trimestre 1;2.698,30;1372,13
2018;Trimestre 2;2.794,67;1413,02
2018;Trimestre 3;2.923,26;1403,57
